[START_COACHES],,
Air Force,Jeff Monken,5
Akron,Joe Moorhead,4
Alabama,Kalen DeBoer,9
Appalachian State,Dowell Loggains,4
Arizona,Brent Brennan,5
Arizona State,Kenny Dillingham,7
Arkansas,Ryan Silverfield,5
Arkansas State,Butch Jones,5
Army,Jeff Monken,6
Auburn,Alex Golesh,5
Ball State,Mike Uremovich,3
Baylor,Dave Aranda,6
Boise State,Spencer Danielson,6
Boston College,Bill O'Brien,7
Bowling Green,Eddie George,4
BYU,Kalani Sitake,8
Buffalo,Pete Lembo,4
California,Tosh Lupoi,5
Central Michigan,Matt Drinkall,3
Charlotte,Tim Albin,4
Cincinnati,Scott Satterfield,5
Clemson,Dabo Swinney,10
Coastal Carolina,Ryan Beard,4
Colorado,Deion Sanders,9
Colorado State,Jim Mora,6
Delaware,Ryan Carty,4
Duke,Manny Diaz,7
East Carolina,Blake Harrell,4
Eastern Michigan,Chris Creighton,5
Florida,Jon Sumrall,6
Florida Atlantic,Zach Kittley,4
Florida International,Willie Simmons,4
Florida State,Mike Norvell,8
Fresno State,Matt Entz,5
Georgia,Kirby Smart,10
Georgia Southern,Clay Helton,5
Georgia State,Dell McGee,4
Georgia Tech,Brent Key,6
Hawaii,Timmy Chang,4
Houston,Willie Fritz,6
Illinois,Bret Bielema,7
Indiana,Curt Cignetti,9
Iowa,Kirk Ferentz,8
Iowa State,Jimmy Rogers,5
Jacksonville State,Charles Kelly,4
James Madison,Billy Napier,5
Kansas,Lance Leipold,7
Kansas State,Collin Klein,5
Kennesaw State,Jerry Mack,4
Kent State,Mark Carney,3
Kentucky,Will Stein,4
Liberty,Jamey Chadwell,7
LSU,Lane Kiffin,9
Louisiana,Michael Desormeaux,5
Louisiana-Monroe,Bryant Vincent,4
Louisiana Tech,Sonny Cumbie,4
Louisville,Jeff Brohm,8
Marshall,Tony Gibson,5
Maryland,Mike Locksley,5
Memphis,Charles Huff,6
Miami,Mario Cristobal,8
Miami OH,Chuck Martin,4
Michigan,Kyle Whittingham,8
Michigan State,Pat Fitzgerald,7
Middle Tennessee,Derek Mason,5
Minnesota,P.J. Fleck,7
Mississippi State,Jeff Lebby,5
Missouri,Eli Drinkwitz,7
Missouri State,Casey Woods,4
Navy,Brian Newberry,5
Nebraska,Matt Rhule,8
Nevada,Jeff Choate,4
New Mexico,Jason Eck,4
New Mexico State,Tony Sanchez,4
North Carolina,Bill Belichick,10
NC State,Dave Doeren,6
North Texas,Neal Brown,5
Northern Illinois,Rob Harley,3
Northwestern,David Braun,5
Notre Dame,Marcus Freeman,9
Ohio,John Hauser,4
Ohio State,Ryan Day,9
Oklahoma,Brent Venables,7
Oklahoma State,Eric Morris,5
Ole Miss,Pete Golding,5
Oregon,Dan Lanning,9
Oregon State,JaMarcus Shephard,4
Penn State,Matt Campbell,7
Pittsburgh,Pat Narduzzi,6
Purdue,Barry Odom,5
Rice,Scott Abell,4
Rutgers,Greg Schiano,7
Sacramento State,Alonzo Carter,4
Sam Houston,Phil Longo,4
San Diego State,Sean Lewis,5
San Jose State,Ken Niumatalolo,5
SMU,Rhett Lashlee,7
South Alabama,Major Applewhite,5
South Carolina,Shane Beamer,6
South Florida,Brian Hartline,6
Southern Miss,Blake Anderson,5
Stanford,Tavita Pritchard,4
Syracuse,Fran Brown,6
TCU,Sonny Dykes,7
Temple,K.C. Keeler,5
Tennessee,Josh Heupel,8
Texas,Steve Sarkisian,9
Texas A&M,Mike Elko,7
Texas State,G.J. Kinne,5
Texas Tech,Joey McGuire,7
Toledo,Mike Jacobs,4
Troy,Gerad Parker,4
Tulane,Will Hall,4
Tulsa,Tre Lamb,4
UAB,Alex Mortensen,4
UCF,Scott Frost,6
UCLA,Bob Chesney,5
UConn,Jason Candle,4
UNLV,Dan Mullen,7
USC,Lincoln Riley,9
Utah,Morgan Scalley,6
Utah State,Bronco Mendenhall,5
UTEP,Scotty Walden,4
UTSA,Jeff Traylor,7
Vanderbilt,Clark Lea,5
Virginia,Tony Elliott,5
Virginia Tech,James Franklin,9
Wake Forest,Jake Dickert,6
Washington,Jedd Fisch,7
Washington State,Kirby Moore,4
West Virginia,Rich Rodriguez,7
Western Kentucky,Tyson Helton,5
Western Michigan,Lance Taylor,4
Wisconsin,Luke Fickell,7
Wyoming,Jay Sawvel,4
[END_COACHES],,
