[START_CONFERENCES],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Ten, East, West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC, East, West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC, East, West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conference USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Belt, East, West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONFERENCES],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[START_TEAMS],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston College, BC, ACC, 55, A, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
California, CAL, ACC, 65, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemson, CLEM, ACC, 88, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke, DUKE, ACC, 55, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State, FSU, ACC, 80, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Tech, GT, ACC, 58, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville, LOU, ACC, 65, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami, MIA, ACC, 75, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina, UNC, ACC, 65, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
NC State, NCST, ACC, 68, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh, PITT, ACC, 65, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
SMU, SMU, ACC, 60, A, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford, STAN, ACC, 68, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse, SYR, ACC, 55, A, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia, UVA, ACC, 60, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech, VT, ACC, 70, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
